broker, nTopics, nNotifications, nSubscriptions, msgSize, notificationFreq, Avg. Throughput, Avg. Delay, Avg. CPU(ns), Avg. CPU(%), Avg. Memory(B), rxBytes, rxPackets, txBytes, txPackets
BE-Tree,0,1000000,100,0,0,61391,0,0,100,5.640476,0,0,0,0
BE-Tree,0,1000000,100,0,0,61423,0,0,100,5.662310,0,0,0,0
BE-Tree,0,1000000,100,0,0,61521,0,0,100,5.647760,0,0,0,0
BE-Tree,0,1000000,1000,0,0,61553,0,0,100,5.658131,0,0,0,0
BE-Tree,0,1000000,1000,0,0,61676,0,0,100,5.664582,0,0,0,0
BE-Tree,0,1000000,1000,0,0,56782,0,0,100,5.669094,0,0,0,0
BE-Tree,0,1000000,5000,0,0,43974,0,0,100,5.689321,0,0,0,0
BE-Tree,0,1000000,5000,0,0,44132,0,0,100,5.688921,0,0,0,0
BE-Tree,0,1000000,5000,0,0,44043,0,0,100,5.692444,0,0,0,0
BE-Tree,0,1000000,10000,0,0,33446,0,0,100,5.721584,0,0,0,0
BE-Tree,0,1000000,10000,0,0,33600,0,0,100,5.707731,0,0,0,0
BE-Tree,0,1000000,10000,0,0,33745,0,0,100,5.704531,0,0,0,0
BE-Tree,0,1000000,50000,0,0,13488,0,0,100,6.371769,0,0,0,0
BE-Tree,0,1000000,50000,0,0,13565,0,0,100,6.371433,0,0,0,0
BE-Tree,0,1000000,50000,0,0,13512,0,0,100,6.373392,0,0,0,0
BE-Tree,0,1000000,100000,0,0,6703,0,0,100,7.021958,0,0,0,0
BE-Tree,0,1000000,100000,0,0,6737,0,0,100,7.019574,0,0,0,0
BE-Tree,0,1000000,100000,0,0,6426,0,0,100,7.020780,0,0,0,0
BE-Tree,0,1000000,500000,0,0,1296,0,0,100,11.50937,0,0,0,0
BE-Tree,0,1000000,500000,0,0,1305,0,0,100,11.509648,0,0,0,0
BE-Tree,0,1000000,500000,0,0,1310,0,0,100,11.509382,0,0,0,0
BE-Tree,0,1000000,1000000,0,0,650,0,0,100,17.587132,0,0,0,0
BE-Tree,0,1000000,1000000,0,0,647,0,0,100,17.584172,0,0,0,0
BE-Tree,0,1000000,1000000,0,0,651,0,0,100,17.587814,0,0,0,0
BE-Tree,0,1000000,100,0,0,61900,0,0,100,5.650403,0,0,0,0
BE-Tree,0,1000000,100,0,0,61547,0,0,100,5.648809,0,0,0,0
BE-Tree,0,1000000,100,0,0,61458,0,0,100,5.647500,0,0,0,0
BE-Tree,0,1000000,1000,0,0,61821,0,0,100,5.658108,0,0,0,0
