broker, nTopics, nNotifications, nSubscriptions, msgSize, notificationFreq, Avg. Throughput, Avg. Delay, Avg. CPU(ns), Avg. CPU(%), Avg. Memory(B), rxBytes, rxPackets, txBytes, txPackets
RabbitMQ,100,100000,100,100,1000,984,0.0,1.0393267402E10,15.9852,1.96923e+06,1.5085933E7,101329.0,1.4754172E7,66169.0
RabbitMQ,100,100000,1000,100,1000,984,0.0,3.8794761921E10,69.5478,4.24254e+06,1.7177217E7,130741.0,1.11447386E8,133533.0
RabbitMQ,100,100000,5000,100,1000,982,3.0,1.45478951192E11,269.334,1.30567e+07,2.9887002E7,314181.0,5.45679189E8,446094.0
RabbitMQ,100,100000,10000,100,1000,975,15.0,2.5359716312E11,481.041,2.08287e+07,4.0937049E7,471810.0,1.081158025E9,817025.0
RabbitMQ,100,100000,20000,100,1000,532,32830.0,4.96393330177E11,506.554,4.62277e+07,6.1005089E7,718610.0,2.178130964E9,1553856.0
RabbitMQ,100,100000,40000,100,1000,163,101425.0,1.44438942882E12,495.229,8.55721e+07,1.70723877E8,2317622.0,5.24502479E9,3512503.0
RabbitMQ,100,100000,100,100,5000,4832,1.0,7.89322631E9,53.398,2.02165e+06,1.4708001E7,96131.0,1.4099964E7,58450.0
RabbitMQ,100,100000,1000,100,5000,4823,3.0,3.0532921294E10,251.8,4.21003e+06,1.6622523E7,122444.0,1.10911766E8,126766.0
RabbitMQ,100,100000,5000,100,5000,2237,8384.0,1.24976729535E11,517.068,1.23904e+07,2.8828205E7,261384.0,5.44170945E8,435316.0
RabbitMQ,100,100000,10000,100,5000,1077,16989.0,2.50903964344E11,514.05,2.33958e+07,3.8960748E7,409407.0,1.089090375E9,814296.0
RabbitMQ,100,100000,20000,100,5000,508,39293.0,5.12399524151E11,496.959,4.85941e+07,6.357705E7,760194.0,2.175216205E9,1547124.0
RabbitMQ,100,100000,40000,100,5000,233,87319.0,1.14050785689E12,515.774,8.18881e+07,1.42597205E8,1914354.0,4.330186952E9,2887555.0
RabbitMQ,100,100000,100,100,10000,9337,2.0,7.740778857E9,100.698,2.34252e+06,1.4661879E7,96845.0,1.4038699E7,59294.0
RabbitMQ,100,100000,1000,100,10000,9124,9.0,2.8414087121E10,346.947,4.3848e+06,1.6799262E7,126960.0,1.09227896E8,125476.0
RabbitMQ,100,100000,5000,100,10000,2242,8643.0,1.23147774648E11,513.758,1.17393e+07,2.8043687E7,253166.0,5.38138721E8,429626.0
RabbitMQ,100,100000,10000,100,10000,1109,16622.0,2.45431555408E11,518.114,2.31492e+07,3.681872E7,379916.0,1.079276718E9,806877.0
RabbitMQ,100,100000,20000,100,10000,506,46184.0,5.11099864119E11,484.396,4.42921e+07,6.4518974E7,763907.0,2.17071983E9,1538341.0
RabbitMQ,100,100000,40000,100,10000,190,88046.0,1.35581121388E12,440.235,8.12696e+07,1.609361E8,2184720.0,4.889497184E9,3291611.0
RabbitMQ,100,100000,100,100,15000,13609,4.0,8.009936952E9,150.067,2.17055e+06,1.5181113E7,98565.0,1.4659616E7,61165.0
RabbitMQ,100,100000,1000,100,15000,9412,1035.0,2.7461225653E10,336.992,3.50574e+06,1.5117485E7,82910.0,1.07189122E8,116573.0
RabbitMQ,100,100000,5000,100,15000,2254,12108.0,1.24745988565E11,515.689,1.27383e+07,2.830334E7,257458.0,5.42536211E8,433274.0
RabbitMQ,100,100000,10000,100,15000,1103,15074.0,2.44963239381E11,517.352,2.27229e+07,3.7139157E7,386933.0,1.081539849E9,804087.0
RabbitMQ,100,100000,20000,100,15000,509,40556.0,5.14690546636E11,498.316,4.73298e+07,6.4012098E7,765790.0,2.213265071E9,1575280.0
RabbitMQ,100,100000,40000,100,15000,187,136015.0,1.374283382566E12,462.227,8.48129e+07,1.61916871E8,2193070.0,4.937895552E9,3307073.0
RabbitMQ,100,100000,100,100,20000,17445,3.0,7.510647553E9,194.087,2.09016e+06,1.4305997E7,94164.0,1.404134E7,62741.0
RabbitMQ,100,100000,1000,100,20000,9586,1082.0,2.6390412869E10,338.67,4.3453e+06,1.5223212E7,84695.0,1.07910429E8,117295.0
RabbitMQ,100,100000,5000,100,20000,2223,8651.0,1.2331825621E11,514.499,1.26044e+07,2.7783999E7,253602.0,5.35209978E8,428645.0
RabbitMQ,100,100000,10000,100,20000,1046,19852.0,2.54090892481E11,507.705,2.28447e+07,3.9362318E7,412013.0,1.09797713E9,823091.0
RabbitMQ,100,100000,20000,100,20000,496,42902.0,5.21961973727E11,489.26,4.42144e+07,6.560082E7,789703.0,2.174217331E9,1540672.0
RabbitMQ,100,100000,40000,100,20000,62,194952.0,2.152113418695E12,480.666,9.393e+07,2.21742308E8,3046194.0,6.979215442E9,4670973.0
RabbitMQ,100,100000,100,100,30000,24642,7.0,6.603034866E9,267.965,2.10764e+06,1.181878E7,76617.0,1.1478837E7,49065.0
RabbitMQ,100,100000,1000,100,30000,9463,1507.0,2.7058255225E10,340.76,3.37641e+06,1.5813155E7,82217.0,1.07949051E8,116963.0
RabbitMQ,100,100000,5000,100,30000,2236,9650.0,1.24822483434E11,515.315,1.18665e+07,2.8650459E7,255012.0,5.41790713E8,433282.0
RabbitMQ,100,100000,10000,100,30000,1078,17537.0,2.50901850857E11,510.974,2.37402e+07,3.7826291E7,389133.0,1.103206147E9,824449.0
RabbitMQ,100,100000,20000,100,30000,488,38094.0,5.30146849706E11,498.488,4.22111e+07,6.7905153E7,828899.0,2.168386739E9,1535023.0
RabbitMQ,100,100000,40000,100,30000,204,87524.0,1.287884688738E12,508.522,8.26868e+07,1.50132849E8,2027589.0,4.58613045E9,3062834.0
