broker, nTopics, nNotifications, nSubscriptions, msgSize, notificationFreq, Avg. Throughput, Avg. Delay, Avg. CPU(ns), Avg. CPU(%), Avg. Memory(B), rxBytes, rxPackets, txBytes, txPackets
rabbitmq-broker,100,100000,100,100,1000,983,0.0,1.0594519444E10,16.3146,1.97908e+06,1.5234478E7,101663.0,1.4806299E7,66328.0
rabbitmq-broker,100,100000,100,100,1000,984,0.0,9.795441795E9,14.5302,1.97237e+06,1.5283379E7,101990.0,1.4865591E7,66716.0
rabbitmq-broker,100,100000,100,100,1000,985,0.0,1.0160524364E10,15.257,1.94008e+06,1.5144534E7,101062.0,1.4735461E7,66193.0
rabbitmq-broker,100,100000,1000,100,1000,984,0.0,4.0706409901E10,76.2702,4.17941e+06,1.9421926E7,163155.0,1.12667898E8,134112.0
rabbitmq-broker,100,100000,1000,100,1000,985,0.0,3.950702703E10,73.7248,4.19116e+06,1.9419231E7,163227.0,1.12607472E8,134612.0
rabbitmq-broker,100,100000,1000,100,1000,985,0.0,3.9932474347E10,73.8696,4.29455e+06,1.9405157E7,163090.0,1.12606114E8,135563.0
rabbitmq-broker,100,100000,5000,100,1000,983,2.0,1.47684757697E11,276.669,1.23059e+07,4.012191E7,468256.0,5.49237913E8,447907.0
rabbitmq-broker,100,100000,5000,100,1000,983,3.0,1.47366977528E11,277.015,1.33427e+07,4.0151585E7,468496.0,5.50033661E8,447762.0
rabbitmq-broker,100,100000,5000,100,1000,984,3.0,1.4621900732E11,267.863,1.33513e+07,3.993623E7,465817.0,5.47443337E8,445701.0
rabbitmq-broker,100,100000,10000,100,1000,974,25.0,2.60593102155E11,489.239,2.28923e+07,6.0259571E7,763377.0,1.089145369E9,808802.0
rabbitmq-broker,100,100000,10000,100,1000,971,16.0,2.60907387396E11,495.731,2.19096e+07,5.8679067E7,740171.0,1.08349176E9,812535.0
rabbitmq-broker,100,100000,10000,100,1000,972,18.0,2.67091254512E11,501.487,2.27054e+07,5.8940823E7,743515.0,1.088510193E9,810776.0
rabbitmq-broker,100,100000,20000,100,1000,493,36679.0,5.26744204625E11,503.392,4.51368e+07,1.00392222E8,1316572.0,2.155500379E9,1470051.0
rabbitmq-broker,100,100000,20000,100,1000,496,35478.0,5.26776531042E11,502.815,4.02038e+07,9.7889531E7,1277218.0,2.164127744E9,1470219.0
rabbitmq-broker,100,100000,20000,100,1000,499,32156.0,5.21931897579E11,508.332,4.60028e+07,9.6239E7,1259143.0,2.151529703E9,1459357.0
rabbitmq-broker,100,100000,40000,100,1000,212,82763.0,1.246250075359E12,517.206,7.91707e+07,2.10360497E8,2938524.0,4.475011966E9,3021849.0
rabbitmq-broker,100,100000,40000,100,1000,207,95128.0,1.276563580134E12,516.65,8.30988e+07,2.08837926E8,2913104.0,4.488411654E9,3009950.0
rabbitmq-broker,100,100000,40000,100,1000,218,88946.0,1.209814888502E12,515.813,7.7216e+07,2.09407616E8,2922741.0,4.458483754E9,3008802.0
rabbitmq-broker,100,100000,100,100,5000,4837,1.0,7.536824771E9,50.412,2.04682e+06,1.5103896E7,99574.0,1.4391367E7,59923.0
rabbitmq-broker,100,100000,100,100,5000,4813,1.0,7.812166161E9,49.893,1.97552e+06,1.4994625E7,97531.0,1.4812442E7,65815.0
rabbitmq-broker,100,100000,100,100,5000,4861,2.0,7.758269252E9,50.899,2.05311e+06,1.3989111E7,81646.0,1.4348458E7,57972.0
rabbitmq-broker,100,100000,1000,100,5000,4802,3.0,3.094558551E10,269.175,4.26389e+06,1.9186576E7,159499.0,1.12393305E8,128828.0
rabbitmq-broker,100,100000,1000,100,5000,4818,3.0,3.0715846018E10,272.227,4.23625e+06,1.9148211E7,159389.0,1.11936469E8,127837.0
rabbitmq-broker,100,100000,1000,100,5000,4809,3.0,3.0765450989E10,261.331,4.11252e+06,1.9124308E7,159668.0,1.11400433E8,127612.0
rabbitmq-broker,100,100000,5000,100,5000,2180,8415.0,1.27033276591E11,496.003,1.12152e+07,3.7973014E7,402833.0,5.41985448E8,431643.0
rabbitmq-broker,100,100000,5000,100,5000,2184,7351.0,1.29264253885E11,497.663,1.1254e+07,3.7969377E7,407859.0,5.52889992E8,437168.0
rabbitmq-broker,100,100000,5000,100,5000,2156,8238.0,1.28282267004E11,515.79,1.22273e+07,3.8273961E7,406467.0,5.47475788E8,435963.0
rabbitmq-broker,100,100000,10000,100,5000,1038,14448.0,2.55809953471E11,507.822,2.27213e+07,5.6621286E7,682860.0,1.085526075E9,793482.0
rabbitmq-broker,100,100000,10000,100,5000,1034,20446.0,2.5934145434E11,509.078,2.31836e+07,5.7683038E7,683408.0,1.098508274E9,806030.0
rabbitmq-broker,100,100000,10000,100,5000,1029,16662.0,2.59576378634E11,507.304,2.4687e+07,5.7832948E7,695771.0,1.090932226E9,797638.0
rabbitmq-broker,100,100000,20000,100,5000,505,36516.0,5.19231837159E11,497.493,4.40282e+07,9.5412676E7,1244321.0,2.163014787E9,1462129.0
rabbitmq-broker,100,100000,20000,100,5000,495,39616.0,5.27551237017E11,507.462,4.4121e+07,9.7390741E7,1272424.0,2.157926925E9,1460211.0
rabbitmq-broker,100,100000,20000,100,5000,501,39459.0,5.22503059597E11,506.466,4.57979e+07,9.6619435E7,1259329.0,2.172748736E9,1470060.0
rabbitmq-broker,100,100000,40000,100,5000,221,87408.0,1.191798515287E12,508.734,8.2649e+07,2.05243808E8,2864484.0,4.326930786E9,2940107.0
rabbitmq-broker,100,100000,40000,100,5000,209,92912.0,1.259478082512E12,496.617,7.96122e+07,2.10667891E8,2941244.0,4.480950958E9,3029279.0
rabbitmq-broker,100,100000,40000,100,5000,204,93137.0,1.292208563821E12,510.894,8.16943e+07,2.12314423E8,2967489.0,4.544428147E9,3061981.0
rabbitmq-broker,100,100000,100,100,10000,9292,3.0,7.713042074E9,100.354,2.06569e+06,1.4926786E7,95748.0,1.4600582E7,61769.0
rabbitmq-broker,100,100000,100,100,10000,9395,2.0,7.420739765E9,96.642,2.07199e+06,1.4388796E7,93746.0,1.37986E7,57055.0
rabbitmq-broker,100,100000,100,100,10000,9362,2.0,7.76508898E9,98.842,2.04472e+06,1.506137E7,97054.0,1.4603112E7,60819.0
rabbitmq-broker,100,100000,1000,100,10000,9097,13.0,2.6990343631E10,443.057,4.62422e+06,1.7514507E7,145557.0,1.02339561E8,117388.0
rabbitmq-broker,100,100000,1000,100,10000,9166,10.0,2.7743965454E10,377.95,3.8258e+06,1.7986761E7,149939.0,1.04624274E8,118923.0
rabbitmq-broker,100,100000,1000,100,10000,9165,11.0,2.9427698624E10,422.128,4.18557e+06,1.970504E7,163050.0,1.16060147E8,132713.0
rabbitmq-broker,100,100000,5000,100,10000,2219,9592.0,1.26151357297E11,521.123,1.19781e+07,3.8234991E7,404053.0,5.44508878E8,432267.0
rabbitmq-broker,100,100000,5000,100,10000,2213,8308.0,1.27419064318E11,525.978,1.20086e+07,3.8090923E7,408212.0,5.46496982E8,433338.0
rabbitmq-broker,100,100000,5000,100,10000,2241,8841.0,1.25479032533E11,519.534,1.21954e+07,3.7800884E7,397673.0,5.44091184E8,431393.0
rabbitmq-broker,100,100000,10000,100,10000,1073,17483.0,2.53874508172E11,512.879,2.34003e+07,5.7414573E7,688369.0,1.111056332E9,810481.0
rabbitmq-broker,100,100000,10000,100,10000,1106,16830.0,2.47625323391E11,522.266,2.41325e+07,5.3343754E7,627030.0,1.079288196E9,784195.0
rabbitmq-broker,100,100000,10000,100,10000,1080,17506.0,2.50965013182E11,513.051,2.31668e+07,5.6358292E7,669769.0,1.106925202E9,806921.0
rabbitmq-broker,100,100000,20000,100,10000,504,40912.0,5.20417798246E11,509.253,4.55391e+07,9.4100509E7,1220618.0,2.18947773E9,1483305.0
rabbitmq-broker,100,100000,20000,100,10000,495,41310.0,5.28492551689E11,509.883,4.5914e+07,9.7279466E7,1267731.0,2.181364259E9,1482616.0
rabbitmq-broker,100,100000,20000,100,10000,502,36338.0,5.17580406886E11,496.005,47185920,9.5140268E7,1239384.0,2.180366014E9,1485968.0
rabbitmq-broker,100,100000,40000,100,10000,178,114131.0,1.454759150109E12,437.918,8.63231e+07,2.37604142E8,3325627.0,5.191523101E9,3455239.0
rabbitmq-broker,100,100000,40000,100,10000,195,108062.0,1.33256902886E12,500.793,8.21681e+07,2.17438663E8,3035973.0,4.659327043E9,3135382.0
rabbitmq-broker,100,100000,40000,100,10000,122,129147.0,1.771109919788E12,345.863,8.54446e+07,2.68984577E8,3790674.0,5.837959266E9,3927822.0
rabbitmq-broker,100,100000,100,100,15000,13495,3.0,7.564448465E9,106.295,1.50995e+06,1.4059197E7,93021.0,1.3466084E7,57258.0
rabbitmq-broker,100,100000,100,100,15000,13551,3.0,8.290639225E9,148.312,2.09977e+06,1.5731993E7,101538.0,1.5316138E7,64685.0
rabbitmq-broker,100,100000,100,100,15000,13486,4.0,7.982474972E9,148.54,1.99229e+06,1.4921355E7,98295.0,1.4638341E7,65616.0
rabbitmq-broker,100,100000,1000,100,15000,9417,932.0,2.9391961266E10,469.065,4.53509e+06,1.7716199E7,118053.0,1.13725715E8,123826.0
rabbitmq-broker,100,100000,1000,100,15000,9310,1112.0,2.8938255733E10,411.458,4.22366e+06,1.8025369E7,119087.0,1.1424653E8,124248.0
rabbitmq-broker,100,100000,1000,100,15000,9456,1087.0,2.9214885014E10,457.693,4.71335e+06,1.784619E7,116976.0,1.15717281E8,126006.0
rabbitmq-broker,100,100000,5000,100,15000,2247,12234.0,1.26519017309E11,521.259,1.1693e+07,3.8301257E7,406493.0,5.4936256E8,435038.0
rabbitmq-broker,100,100000,5000,100,15000,2247,9436.0,1.25497288216E11,524.839,1.16201e+07,3.821615E7,401631.0,5.43238728E8,430612.0
rabbitmq-broker,100,100000,5000,100,15000,2237,9205.0,1.25629031429E11,516.549,1.21096e+07,3.7987985E7,400385.0,5.42893012E8,431514.0
rabbitmq-broker,100,100000,10000,100,15000,1095,17745.0,2.48937679733E11,520.883,2.38296e+07,5.5898308E7,664444.0,1.093427065E9,796324.0
rabbitmq-broker,100,100000,10000,100,15000,1078,20930.0,2.53304176978E11,518.375,2.39092e+07,5.697891E7,671147.0,1.112486859E9,807669.0
rabbitmq-broker,100,100000,10000,100,15000,1103,19507.0,2.46496902103E11,516.715,2.15239e+07,5.6906285E7,673465.0,1.086647537E9,793902.0
rabbitmq-broker,100,100000,20000,100,15000,501,48385.0,5.25438418286E11,500.802,4.55567e+07,9.8585935E7,1282734.0,2.198459718E9,1496542.0
rabbitmq-broker,100,100000,20000,100,15000,513,38301.0,5.15759014369E11,506.178,4.5521e+07,9.3620916E7,1213188.0,2.209377027E9,1512904.0
rabbitmq-broker,100,100000,20000,100,15000,523,31100.0,5.059296299E11,509.556,4.62035e+07,9.1421555E7,1188595.0,2.134852176E9,1449004.0
rabbitmq-broker,100,100000,40000,100,15000,223,73234.0,1.185918035444E12,497.644,8.23166e+07,2.04331106E8,2854554.0,4.381223703E9,2948259.0
rabbitmq-broker,100,100000,40000,100,15000,201,106989.0,1.294407723739E12,499.069,8.3476e+07,2.14537132E8,2995643.0,4.631343228E9,3102750.0
rabbitmq-broker,100,100000,40000,100,15000,196,93716.0,1.339704922007E12,476.839,8.29082e+07,2.25032486E8,3150306.0,4.875519139E9,3264491.0
rabbitmq-broker,100,100000,100,100,20000,17599,4.0,7.311177892E9,126.75,1.4916e+06,1.422783E7,91231.0,1.3828681E7,57445.0
rabbitmq-broker,100,100000,100,100,20000,17692,4.0,8.542797088E9,206.75,2.23347e+06,1.621255E7,105657.0,1.5603449E7,65329.0
rabbitmq-broker,100,100000,100,100,20000,17513,3.0,8.137816626E9,198.877,2.07968e+06,1.5457991E7,99717.0,1.5402629E7,69114.0
rabbitmq-broker,100,100000,1000,100,20000,9501,1027.0,2.8614416049E10,410.762,4.10203e+06,1.7942113E7,117563.0,1.14115809E8,125015.0
rabbitmq-broker,100,100000,1000,100,20000,9641,956.0,2.6442738435E10,362.342,3.73118e+06,1.6374091E7,106732.0,1.05988549E8,114813.0
rabbitmq-broker,100,100000,1000,100,20000,9552,945.0,2.8294065538E10,429.475,4.15061e+06,1.7646185E7,114242.0,1.15539785E8,125127.0
rabbitmq-broker,100,100000,5000,100,20000,2234,9331.0,1.26620477885E11,526.922,1.18737e+07,3.7970121E7,399407.0,5.46175556E8,433212.0
rabbitmq-broker,100,100000,5000,100,20000,2231,8980.0,1.23939981725E11,518.984,1.15272e+07,3.7457554E7,396791.0,5.39531174E8,428646.0
rabbitmq-broker,100,100000,5000,100,20000,2241,9349.0,1.23627787635E11,517.361,1.1888e+07,3.7587735E7,393605.0,5.36691785E8,425703.0
rabbitmq-broker,100,100000,10000,100,20000,1092,17308.0,2.50595096831E11,520.823,2.42165e+07,5.4159453E7,638048.0,1.103344285E9,798779.0
rabbitmq-broker,100,100000,10000,100,20000,1084,16025.0,2.51010473906E11,517.578,2.4008e+07,5.709835E7,684829.0,1.100436712E9,804743.0
rabbitmq-broker,100,100000,10000,100,20000,1072,18036.0,2.52091926226E11,510.89,2.3527e+07,5.7097819E7,681368.0,1.105054654E9,803385.0
rabbitmq-broker,100,100000,20000,100,20000,509,49165.0,5.20864517514E11,509.976,4.58924e+07,9.6154377E7,1255873.0,2.196661085E9,1494240.0
rabbitmq-broker,100,100000,20000,100,20000,503,40912.0,5.2344835675E11,510.685,4.65798e+07,9.4357373E7,1220631.0,2.205940164E9,1496422.0
rabbitmq-broker,100,100000,20000,100,20000,515,38638.0,5.1134141062E11,507.145,4.5034e+07,9.2699468E7,1200588.0,2.175697704E9,1480969.0
rabbitmq-broker,100,100000,40000,100,20000,92,143719.0,1.892503999435E12,246.737,8.70271e+07,2.93360208E8,4140687.0,6.625531908E9,4355635.0
rabbitmq-broker,100,100000,40000,100,20000,211,106815.0,1.244517388322E12,478.267,8.08868e+07,2.11149554E8,2943592.0,4.580702205E9,3053521.0
rabbitmq-broker,100,100000,40000,100,20000,161,117662.0,1.401753406561E12,380.94,8.26189e+07,2.35253308E8,3296796.0,5.167198694E9,3434014.0
rabbitmq-broker,100,100000,100,100,30000,24600,7.0,7.080577591E9,256.98,2.17055e+06,1.3215463E7,85811.0,1.2708399E7,52709.0
rabbitmq-broker,100,100000,100,100,30000,24366,7.0,7.725252431E9,256.98,2097152,1.5279472E7,99038.0,1.4819662E7,62783.0
rabbitmq-broker,100,100000,100,100,30000,24551,9.0,8.671703633E9,253.855,2.18104e+06,1.7713367E7,113190.0,1.7232314E7,71418.0
rabbitmq-broker,100,100000,1000,100,30000,9596,1294.0,2.794328803E10,445.387,4.31314e+06,1.7840007E7,113988.0,1.12871938E8,121088.0
