broker, nTopics, nNotifications, nSubscriptions, msgSize, notificationFreq, Avg. Throughput, Avg. Delay, Avg. CPU(ns), Avg. CPU(%), Avg. Memory(B), rxBytes, rxPackets, txBytes, txPackets
ActiveMQ,100,100000,100,100,1000,956,0.0,1.0839037645E10,9.42346,6.23808,1.7814604E7,100640.0,1.8421605E7,103489.0
ActiveMQ,100,100000,100,100,1000,956,0.0,1.1200068353E10,10.6212,7.34231,1.7869922E7,100917.0,1.8447116E7,103294.0
ActiveMQ,100,100000,100,100,1000,954,0.0,1.1019895148E10,9.84615,7.38769,1.7842998E7,100726.0,1.8408443E7,102931.0
ActiveMQ,100,100000,100,100,5000,4291,0.0,1.0404254017E10,34.4175,6.22333,1.7438561E7,98282.0,1.7950488E7,99779.0
ActiveMQ,100,100000,100,100,5000,4306,0.0,1.0156365069E10,30.8438,6.56769,1.7561605E7,99027.0,1.8073796E7,100513.0
ActiveMQ,100,100000,100,100,5000,4291,1.0,1.0889147186E10,38.1633,6.21167,1.7515752E7,98692.0,1.8026265E7,100166.0
ActiveMQ,100,100000,100,100,10000,7541,0.0,1.0323201126E10,57.9657,7.19571,1.6434168E7,92661.0,1.6916838E7,94060.0
ActiveMQ,100,100000,100,100,10000,7592,0.0,1.042779873E10,57.4214,6.26429,1.6778837E7,94509.0,1.7287322E7,96167.0
ActiveMQ,100,100000,100,100,10000,7630,0.0,1.0219425436E10,53.0057,7.37286,1.7477224E7,98589.0,1.8007404E7,100350.0
ActiveMQ,100,100000,100,100,15000,10207,0.0,1.0538165788E10,73.984,6.19,1.7462698E7,98390.0,1.7946339E7,99441.0
ActiveMQ,100,100000,100,100,15000,10126,1.0,1.0456193135E10,74.322,6.04,1.7543761E7,98781.0,1.8057834E7,100228.0
ActiveMQ,100,100000,100,100,15000,10092,1.0,1.1097542201E10,77.814,7.226,1.7791351E7,100257.0,1.8286025E7,101324.0
ActiveMQ,100,100000,100,100,20000,12174,2.0,1.0791244171E10,99.035,7.37,1.704513E7,95887.0,1.7559294E7,97469.0
ActiveMQ,100,100000,100,100,20000,12250,0.0,1.0448152187E10,91.2775,7.34,1.7027972E7,95887.0,1.7518757E7,97167.0
ActiveMQ,100,100000,100,100,20000,12161,0.0,1.0725506662E10,94.85,6.195,1.6555724E7,93275.0,1.7040532E7,94653.0
ActiveMQ,100,100000,100,100,30000,15353,1.0,1.06888642E10,91.695,5.3475,1.5757856E7,88814.0,1.6242942E7,90461.0
ActiveMQ,100,100000,100,100,30000,15149,1.0,1.1004024286E10,96.6975,7.1875,1.589521E7,89429.0,1.6344443E7,90447.0
ActiveMQ,100,100000,100,100,30000,15146,0.0,1.0747386758E10,121.14,7.15,1.7369998E7,97662.0,1.7907178E7,99432.0
ActiveMQ,100,100000,1000,100,1000,944,0.0,2.1358383374E10,25.1215,9.19302,8.5733395E7,646060.0,1.8002502E8,634497.0
ActiveMQ,100,100000,1000,100,1000,944,0.0,2.154899655E10,26.6638,8,8.5436395E7,642833.0,1.79762368E8,634596.0
ActiveMQ,100,100000,1000,100,1000,944,0.0,2.1353607438E10,27.6355,9.04415,8.5257337E7,643335.0,1.78916858E8,631200.0
ActiveMQ,100,100000,1000,100,5000,4021,1.0,2.0172311269E10,99.6685,7.88923,8.2394834E7,621506.0,1.73953697E8,604983.0
ActiveMQ,100,100000,1000,100,5000,3999,1.0,2.0831219907E10,96.1154,8.19923,1.01221616E8,667012.0,1.85022361E8,652141.0
ActiveMQ,100,100000,1000,100,5000,4010,1.0,1.9953365739E10,97.41,8.05769,8.1253748E7,612692.0,1.71712286E8,607011.0
ActiveMQ,100,100000,1000,100,10000,6719,4.0,1.9047358709E10,157.285,8.2125,7.6422119E7,573564.0,1.62620171E8,552468.0
ActiveMQ,100,100000,1000,100,10000,6697,9.0,1.9228406899E10,156.588,9.3,7.8637274E7,599737.0,1.67229457E8,581743.0
ActiveMQ,100,100000,1000,100,10000,6676,10.0,1.9861851225E10,156.481,8.145,8.0123558E7,608971.0,1.71988837E8,606825.0
ActiveMQ,100,100000,1000,100,15000,8674,74.0,1.8866688431E10,199.863,9.71167,7.3718426E7,604103.0,1.69782906E8,582851.0
ActiveMQ,100,100000,1000,100,15000,8707,23.0,1.8909950854E10,201.452,9.32167,7.7863894E7,598736.0,1.69356383E8,578263.0
ActiveMQ,100,100000,1000,100,15000,8704,40.0,1.9541498346E10,193.207,8.86333,7.7026702E7,598569.0,1.72615623E8,602894.0
ActiveMQ,100,100000,1000,100,20000,9910,65.0,1.8134648425E10,175.338,7.27167,7.0982487E7,556666.0,1.61502841E8,543774.0
ActiveMQ,100,100000,1000,100,20000,9945,40.0,2.0015090778E10,192.192,7.6,7.5616968E7,597434.0,1.77299626E8,591842.0
ActiveMQ,100,100000,1000,100,20000,10068,119.0,1.8752900317E10,216.168,9.22,6.8829533E7,567966.0,1.68776481E8,564783.0
ActiveMQ,100,100000,1000,100,30000,9997,1057.0,1.914264519E10,223.578,10.178,6.5360223E7,537252.0,1.64361559E8,548248.0
