broker, nTopics, nNotifications, nSubscriptions, msgSize, notificationFreq, Avg. Throughput, Avg. Delay, Avg. CPU(ns), Avg. CPU(%), Avg. Memory(B), rxBytes, rxPackets, txBytes, txPackets
rabbitmq-broker,100,100000,10000,10,1000000,1047,32111.0,2.52498784811E11,591.59,2.44558e+07,3.8002116E7,466075.0,6.1556433E8,498863.0
rabbitmq-broker,100,100000,10000,10,1000000,1047,32111.0,2.52498784811E11,591.59,2.44558e+07,3.8002116E7,466075.0,6.1556433E8,498863.0
rabbitmq-broker,100,100000,10000,10,1000000,1047,32111.0,2.52498784811E11,591.59,2.44558e+07,3.8002116E7,466075.0,6.1556433E8,498863.0
rabbitmq-broker,100,100000,10000,100,1000000,1045,20775.0,2.53886047695E11,497.002,2.25426e+07,3.9232002E7,410989.0,1.090245309E9,818196.0
rabbitmq-broker,100,100000,10000,100,1000000,1045,20775.0,2.53886047695E11,497.002,2.25426e+07,3.9232002E7,410989.0,1.090245309E9,818196.0
rabbitmq-broker,100,100000,10000,100,1000000,1045,20775.0,2.53886047695E11,497.002,2.25426e+07,3.9232002E7,410989.0,1.090245309E9,818196.0
rabbitmq-broker,100,100000,10000,1000,1000000,1001,4790.0,2.73443092732E11,418.325,2.28533e+07,1.69046819E8,1675451.0,5.745954444E9,2400086.0
rabbitmq-broker,100,100000,10000,1000,1000000,1001,4790.0,2.73443092732E11,418.325,2.28533e+07,1.69046819E8,1675451.0,5.745954444E9,2400086.0
rabbitmq-broker,100,100000,10000,1000,1000000,1001,4790.0,2.73443092732E11,418.325,2.28533e+07,1.69046819E8,1675451.0,5.745954444E9,2400086.0
rabbitmq-broker,100,100000,10000,10000,1000000,823,1292.0,3.26171250745E11,317.7,2.47434e+07,6.50639464E8,2079201.0,5.0947309647E10,4429741.0
rabbitmq-broker,100,100000,10000,10000,1000000,823,1292.0,3.26171250745E11,317.7,2.47434e+07,6.50639464E8,2079201.0,5.0947309647E10,4429741.0
rabbitmq-broker,100,100000,10000,10000,1000000,823,1292.0,3.26171250745E11,317.7,2.47434e+07,6.50639464E8,2079201.0,5.0947309647E10,4429741.0
rabbitmq-broker,100,100000,10000,100000,1000000,325,645.0,6.83614582903E11,240.435,2.69341e+07,5.248896122E9,3575105.0,5.00086312202E1
rabbitmq-broker,100,100000,10000,100000,1000000,325,645.0,6.83614582903E11,240.435,2.69341e+07,5.248896122E9,3575105.0,5.00086312202E1
rabbitmq-broker,100,100000,10000,100000,1000000,325,645.0,6.83614582903E11,240.435,2.69341e+07,5.248896122E9,3575105.0,5.00086312202E1

silboPS-broker,0,500000,10000,10,1000000,24880,72209,0,92.3,2.65437e+08,0,0,0,0
silboPS-broker,0,500000,10000,10,1000000,24880,72209,0,92.3,2.65437e+08,0,0,0,0
silboPS-broker,0,500000,10000,10,1000000,24880,72209,0,92.3,2.65437e+08,0,0,0,0
silboPS-broker,0,500000,10000,100,1000000,25663,71758,0,89.25,2.47027e+08,0,0,0,0
silboPS-broker,0,500000,10000,100,1000000,25663,71758,0,89.25,2.47027e+08,0,0,0,0
silboPS-broker,0,500000,10000,100,1000000,25663,71758,0,89.25,2.47027e+08,0,0,0,0
silboPS-broker,0,500000,10000,1000,1000000,23171,72838,0,88.8608,4.41825e+08,0,0,0,0
silboPS-broker,0,500000,10000,1000,1000000,23171,72838,0,88.8608,4.41825e+08,0,0,0,0
silboPS-broker,0,500000,10000,1000,1000000,23171,72838,0,88.8608,4.41825e+08,0,0,0,0
silboPS-broker,0,500000,10000,10000,1000000,9400,90200,0,57.5426,1019019264,0,0,0,0
silboPS-broker,0,500000,10000,10000,1000000,9400,90200,0,57.5426,1019019264,0,0,0,0
silboPS-broker,0,500000,10000,10000,1000000,9400,90200,0,57.5426,1019019264,0,0,0,0
silboPS-broker,0,500000,10000,100000,1000000,1328,267520,0,33.4362,2.77823e+09,0,0,0,0
silboPS-broker,0,500000,10000,100000,1000000,1328,267520,0,33.4362,2.77823e+09,0,0,0,0
silboPS-broker,0,500000,10000,100000,1000000,1328,267520,0,33.4362,2.77823e+09,0,0,0,0

