broker, nTopics, nNotifications, nSubscriptions, msgSize, notificationFreq, Avg. Throughput, Avg. Delay, Avg. CPU(ns), Avg. CPU(%), Avg. Memory(B), rxBytes, rxPackets, txBytes, txPackets
silboPS-broker,0,1000000,100,100,5000,4955,162069,0,8.18268,4.85396e+07,0,0,0,0
silboPS-broker,0,1000000,100,100,5000,4956,162090,0,8.18268,4.8591e+07,0,0,0,0
silboPS-broker,0,1000000,100,100,5000,4956,162090,0,8.18268,4.8591e+07,0,0,0,0
silboPS-broker,0,1000000,100,100,10000,9898,111687,0,15.3326,3.90401e+07,0,0,0,0
silboPS-broker,0,1000000,100,100,10000,9901,111699,0,16.5698,3.82766e+07,0,0,0,0
silboPS-broker,0,1000000,100,100,10000,9901,111699,0,16.5698,3.82766e+07,0,0,0,0
silboPS-broker,0,1000000,100,100,50000,47616,71981,0,66.2386,4.71485e+08,0,0,0,0
silboPS-broker,0,1000000,100,100,50000,46356,72347,0,63.4971,3.18624e+08,0,0,0,0
silboPS-broker,0,1000000,100,100,50000,46356,72347,0,63.4971,3.18624e+08,0,0,0,0
silboPS-broker,0,1000000,100,100,100000,45165,72819,0,61.8136,3.52007e+08,0,0,0,0
silboPS-broker,0,1000000,100,100,100000,43260,73501,0,62.8093,3.46659e+08,0,0,0,0
silboPS-broker,0,1000000,100,100,100000,43260,73501,0,62.8093,3.46659e+08,0,0,0,0
silboPS-broker,0,1000000,100,100,500000,43183,73900,0,65.2247,292880384,0,0,0,0
silboPS-broker,0,1000000,100,100,500000,44545,73584,0,64.9121,2.80529e+08,0,0,0,0
silboPS-broker,0,1000000,100,100,500000,44545,73584,0,64.9121,2.80529e+08,0,0,0,0
silboPS-broker,0,1000000,100,100,1000000,42773,74247,0,63.7867,2.46695e+08,0,0,0,0
silboPS-broker,0,1000000,100,100,1000000,42345,74363,0,63.7867,2.55988e+08,0,0,0,0
silboPS-broker,0,1000000,100,100,1000000,42345,74363,0,63.7867,2.55988e+08,0,0,0,0
