broker, nTopics, nNotifications, nSubscriptions, msgSize, notificationFreq, Avg. Throughput, Avg. Delay, Avg. CPU(ns), Avg. CPU(%), Avg. Memory(B), rxBytes, rxPackets, txBytes, txPackets
activemq-broker,100,100000,100,100,1000,954,0.0,1.1397507418E10,8.53827,6.26058,1.7954486E7,101873.0,1.8626128E7,105659.0
activemq-broker,100,100000,100,100,1000,954,0.0,1.1397507418E10,8.53827,6.26058,1.7954486E7,101873.0,1.8626128E7,105659.0
activemq-broker,100,100000,100,100,1000,954,0.0,1.1397507418E10,8.53827,6.26058,1.7954486E7,101873.0,1.8626128E7,105659.0
activemq-broker,100,100000,100,100,5000,4246,0.0,1.0413528303E10,38.5192,7.20833,1.7845593E7,100806.0,1.8380354E7,102550.0
activemq-broker,100,100000,100,100,5000,4246,0.0,1.0413528303E10,38.5192,7.20833,1.7845593E7,100806.0,1.8380354E7,102550.0
activemq-broker,100,100000,100,100,5000,4246,0.0,1.0413528303E10,38.5192,7.20833,1.7845593E7,100806.0,1.8380354E7,102550.0
activemq-broker,100,100000,100,100,10000,7399,1.0,1.0920459643E10,58.4443,6.20714,1.7663686E7,99745.0,1.8194311E7,101365.0
activemq-broker,100,100000,100,100,10000,7399,1.0,1.0920459643E10,58.4443,6.20714,1.7663686E7,99745.0,1.8194311E7,101365.0
activemq-broker,100,100000,100,100,10000,7399,1.0,1.0920459643E10,58.4443,6.20714,1.7663686E7,99745.0,1.8194311E7,101365.0
activemq-broker,100,100000,100,100,15000,9773,0.0,1.0791595963E10,63.4017,5.27167,1.6189881E7,91555.0,1.6717463E7,93707.0
activemq-broker,100,100000,100,100,15000,9773,0.0,1.0791595963E10,63.4017,5.27167,1.6189881E7,91555.0,1.6717463E7,93707.0
activemq-broker,100,100000,100,100,15000,9773,0.0,1.0791595963E10,63.4017,5.27167,1.6189881E7,91555.0,1.6717463E7,93707.0
activemq-broker,100,100000,100,100,20000,11960,0.0,1.1168479304E10,82.606,5.932,1.7841311E7,100462.0,1.8355135E7,101792.0
activemq-broker,100,100000,100,100,20000,11960,0.0,1.1168479304E10,82.606,5.932,1.7841311E7,100462.0,1.8355135E7,101792.0
activemq-broker,100,100000,100,100,20000,11960,0.0,1.1168479304E10,82.606,5.932,1.7841311E7,100462.0,1.8355135E7,101792.0
activemq-broker,100,100000,100,100,30000,15165,1.0,1.0170070743E10,124.537,6.98,1.5007294E7,84488.0,1.5462911E7,85827.0
activemq-broker,100,100000,100,100,30000,15165,1.0,1.0170070743E10,124.537,6.98,1.5007294E7,84488.0,1.5462911E7,85827.0
activemq-broker,100,100000,100,100,30000,15165,1.0,1.0170070743E10,124.537,6.98,1.5007294E7,84488.0,1.5462911E7,85827.0
activemq-broker,100,100000,1000,100,1000,941,0.0,2.1970291589E10,26.2749,7.46283,8.525488E7,642331.0,1.79317581E8,634932.0
activemq-broker,100,100000,1000,100,1000,941,0.0,2.1970291589E10,26.2749,7.46283,8.525488E7,642331.0,1.79317581E8,634932.0
activemq-broker,100,100000,1000,100,1000,941,0.0,2.1970291589E10,26.2749,7.46283,8.525488E7,642331.0,1.79317581E8,634932.0
activemq-broker,100,100000,1000,100,5000,4004,2.0,2.0396901957E10,101.168,9.44692,8.1468779E7,615099.0,1.72543235E8,604408.0
activemq-broker,100,100000,1000,100,5000,4004,2.0,2.0396901957E10,101.168,9.44692,8.1468779E7,615099.0,1.72543235E8,604408.0
activemq-broker,100,100000,1000,100,5000,4004,2.0,2.0396901957E10,101.168,9.44692,8.1468779E7,615099.0,1.72543235E8,604408.0
activemq-broker,100,100000,1000,100,10000,6697,7.0,1.9353910239E10,159.015,9.75875,7.8630189E7,594203.0,1.67346802E8,573197.0
activemq-broker,100,100000,1000,100,10000,6697,7.0,1.9353910239E10,159.015,9.75875,7.8630189E7,594203.0,1.67346802E8,573197.0
activemq-broker,100,100000,1000,100,10000,6697,7.0,1.9353910239E10,159.015,9.75875,7.8630189E7,594203.0,1.67346802E8,573197.0
activemq-broker,100,100000,1000,100,15000,8371,84.0,1.8862464843E10,167.26,7.79714,6.9591897E7,555002.0,1.60477912E8,539668.0
activemq-broker,100,100000,1000,100,15000,8371,84.0,1.8862464843E10,167.26,7.79714,6.9591897E7,555002.0,1.60477912E8,539668.0
activemq-broker,100,100000,1000,100,15000,8371,84.0,1.8862464843E10,167.26,7.79714,6.9591897E7,555002.0,1.60477912E8,539668.0
activemq-broker,100,100000,1000,100,20000,9437,96.0,2.0424925263E10,210.345,8.175,7.2503657E7,593588.0,1.73470801E8,565934.0
activemq-broker,100,100000,1000,100,20000,9437,96.0,2.0424925263E10,210.345,8.175,7.2503657E7,593588.0,1.73470801E8,565934.0
activemq-broker,100,100000,1000,100,20000,9437,96.0,2.0424925263E10,210.345,8.175,7.2503657E7,593588.0,1.73470801E8,565934.0
activemq-broker,100,100000,1000,100,30000,9929,1068.0,1.9896426538E10,227.472,9.022,6.660866E7,548206.0,1.74048497E8,564386.0
activemq-broker,100,100000,1000,100,30000,9929,1068.0,1.9896426538E10,227.472,9.022,6.660866E7,548206.0,1.74048497E8,564386.0
activemq-broker,100,100000,1000,100,30000,9929,1068.0,1.9896426538E10,227.472,9.022,6.660866E7,548206.0,1.74048497E8,564386.0
activemq-broker,100,100000,5000,100,1000,902,5.0,5.7656218677E10,88.228,11.9673,4.43966791E8,3103050.0,8.76284077E8,3009994.0
activemq-broker,100,100000,5000,100,1000,902,5.0,5.7656218677E10,88.228,11.9673,4.43966791E8,3103050.0,8.76284077E8,3009994.0
activemq-broker,100,100000,5000,100,1000,902,5.0,5.7656218677E10,88.228,11.9673,4.43966791E8,3103050.0,8.76284077E8,3009994.0
activemq-broker,100,100000,5000,100,5000,1387,23385.0,7.5988209455E10,166.189,33.0844,4.2434932E8,3191313.0,1.168072756E9,3783706.0
activemq-broker,100,100000,5000,100,5000,1387,23385.0,7.5988209455E10,166.189,33.0844,4.2434932E8,3191313.0,1.168072756E9,3783706.0
activemq-broker,100,100000,5000,100,5000,1387,23385.0,7.5988209455E10,166.189,33.0844,4.2434932E8,3191313.0,1.168072756E9,3783706.0
activemq-broker,100,100000,5000,100,10000,1410,28266.0,8.4804982694E10,166.299,36.1534,4.11706065E8,3047066.0,1.092823646E9,3489545.0
activemq-broker,100,100000,5000,100,10000,1410,28266.0,8.4804982694E10,166.299,36.1534,4.11706065E8,3047066.0,1.092823646E9,3489545.0
